Camera #,MAC Address,Module,Location,Start Date,End Date,Found on Aug 26 evening scan,Additional mac,Date changed
64,18c0,1,C7,8/27/2020,,,,
63,1a5d,1,A8,8/27/2020,,,,
62,1ac3,1,D9,8/27/2020,,,,
61,1a80,2,E12,8/27/2020,,,,
60,39C7,2,E12,,8/27/2020,replace,1a80,8/27
59,370A,2,D12,,,y,,
58,395F,2,C12,,,y,,
57,4317,2,B12,,,y,,
56,44C5,2,A12,,,y,,
55,37A6,2,E11,,,y,,
54,4AFD,2,D11,,,y,,
53,39BE,2,C11,,,y,,
52,3713,2,B11,,,y,,
51,38BF,2,A11,,,y,,
50,4ABE,2,E10,,,y,,
49,3C1F,2,D10,,,y,,
48,42A6,2,C10,,,y,,
47,4C34,2,B10,,,y,,
46,4A2A,2,A10,,,y,,
45,4D8E,1,E9,,,y,,
44,396B,1,D9,,8/27/2020,replace,1ac3,8/27
43,42B1,1,C9,,,y,,
42,4C49,1,B9,,,y,,
41,37BF,1,A9,,,y,,
40,44C0,1,E8,,,y,,
39,4293,1,D8,,,y,,
38,4A87,1,C8,,,y,,
37,4292,1,B8,,,y,,
36,432A,1,A8,,8/27/2020,replace,1a5d,8/27
35,36F9,1,E7,,,y,,
34,4AF3,1,D7,,,y,,
33,370F,1,C7,,8/27/2020,replace,18c0,8/27
32,3AAD,1,B7,,,y,,
31,42A5,1,A7,,,y,,
30,4320,3,E6,,,,,
29,4b64,3,D6,,,,,
28,3C4B,3,C6,,,,,
27,3781,3,B6,,,,,
26,36C1,3,A6,,,,,
25,42BB,3,E5,,,,,
24,427E,3,D5,,,,,
23,42C2,3,C5,,,,,
22,42EC,3,B5,,,,,
21,49e4,3,A5,,,,,
20,4297,3,E4,,,,,
19,44e2,3,D4,,,,,
18,3790,3,C4,,,,,
17,450A,3,B4,,,,,
16,4502,3,A4,,,,,
15,3731,4,E3,,,,,
14,49d5,4,D3,,,,,
13,42bf,4,C3,,,,,
12,44cc,4,B3,,,,,
11,39dc,4,A3,,,,,
10,38D1,4,F2,,,,,
9,4C39,4,E2,,,,,
8,4335,4,D2,,,,,
7,44FC,4,C2,,,,,
6,42C0,4,B2,,,,,
5,42c6,4,F1,,,,,
4,4d86,4,E1,,,,,
3,49dd,4,D1,,,,,
2,4288,4,C1,,,,,
1,4327,4,B1,,,,,
